Proteus 327.378 1.101 277.888 117600 0.0004 206.367 2000 asteroid.tga
Triton 147.899 156.826 293.092 354765.286 0.000022849 315.726316 2000 triton.tga
Nereid 190.678 28.385 17.690 5513400 0.7512 36.056 2000 asteroid.tga
Naiad 7.545 5.135 36.057 48227 0.0003 5.947 2000 asteroid.tga
Thalassa 346.174 0.370 278.052 50075 0.0002 353.320 2000 asteroid.tga
Despina 329.733 0.589 135.342 52526 0.0001 356.923 2000 asteroid.tga
Galatea 323.127 0.559 87.291 61953 0.0001 3.172 2000 asteroid.tga
Larissa 321.000 0.748 227.893 73548 0.0014 146.131 2000 asteroid.tga
