Mimas 177.457 1.566 322.864 185600 0.0206 100.173 1999 mimas.tga
Enceladus 137.077 0.010 334.689 238100 0.0001 162.044 1999 enceladus.tga
Tethys 149.174 0.168 149.166 294700 0.0001 28.755 1999 asteroid.tga
Dione 57.741 0.002 173.999 377400 0.0002 109.204 1999 asteroid.tga
Rhea 1.095 1.095 205.869 527100 0.0009 238.732 1999 rhea.tga
Titan 44.046 1.634 172.749 1221900 0.0288 192.132 1999 titan.tga
Hyperion 273.863 0.568 262.058 1464100 0.0175 52.956 1999 asteroid.tga
Iapetus 75.583 7.570 275.850 3560800 0.0284 350.306 1999 iapetus.tga
Phoebe 237.143 174.751 337.537 12944300 0.1644 174.569 1999 asteroid.tga
