 49 Pales 1999 08 10.000 15.82442 3.0834353 0.2356620 110.20130 286.23020 3.18106 7.8 0.15
 50 Virginia 1999 08 10.000 313.44440 2.6489462 0.2868194 200.23482 173.82859 2.83528 9.24 0.15
 51 Nemausa 1999 08 10.000 304.71728 2.3651772 0.0665199 3.38884 176.21358 9.96796 7.35 0.08
 52 Europa 1999 08 10.000 16.59862 3.0981168 0.1007878 342.25890 129.04825 7.46850 6.31 0.18
 53 Kalypso 1999 08 10.000 190.01448 2.6180624 0.2046267 312.35342 143.87373 5.15259 8.81 0.15
 54 Alexandra 1999 08 10.000 228.33796 2.7095934 0.1995983 345.01193 313.55442 11.82913 7.66 0.15
 55 Pandora 1999 08 10.000 253.87743 2.7600448 0.1423932 4.62780 10.70288 7.18302 7.8 0.15
 56 Melete 1999 08 10.000 352.38564 2.5974641 0.2341465 102.92228 193.79298 8.07698 8.31 0.15
 57 Mnemosyne 1999 08 10.000 310.22498 3.1493496 0.1200665 214.50896 199.42403 15.21667 7.03 0.15
 58 Concordia 1999 08 10.000 139.30929 2.6990926 0.0448445 30.54098 161.48523 5.06028 8.86 0.15
 59 Elpis 1999 08 10.000 11.77427 2.7143007 0.1198870 210.55320 170.35101 8.64530 7.93 0.15
 60 Echo 1999 08 10.000 92.43565 2.3942152 0.1820142 270.46539 191.86043 3.60101 8.21 0.27
 61 Danae 1999 08 10.000 332.24038 2.9839577 0.1645740 14.34748 333.96135 18.19856 7.68 0.15
 62 Erato 1999 08 10.000 39.24066 3.1178869 0.1807808 273.03969 125.77609 2.22359 8.76 0.15
 63 Ausonia 1999 08 10.000 26.27639 2.3954029 0.1246164 294.98369 338.15432 5.78839 7.55 0.25
 64 Angelina 1999 08 10.000 222.75980 2.6816380 0.1255236 178.84387 309.72640 1.30801 7.67 0.48
 65 Cybele 1999 08 10.000 220.97369 3.4330699 0.1037283 106.57507 155.83762 3.54784 6.62 0.01
 66 Maja 1999 08 10.000 170.34841 2.6465847 0.1721476 43.98802 7.75899 3.04634 9.36 0.15
 67 Asia 1999 08 10.000 196.68389 2.4206125 0.1856796 105.53128 202.92067 6.02012 8.28 0.15
 68 Leto 1999 08 10.000 173.22126 2.7824985 0.1860645 303.74603 44.44766 7.95665 6.78 0.05
 69 Hesperia 1999 08 10.000 0.17334 2.9794642 0.1642831 289.46937 185.21730 8.58770 7.05 0.19
 70 Panopaea 1999 08 10.000 192.61401 2.6140798 0.1837986 255.40309 47.96737 11.58047 8.11 0.14
 71 Niobe 1999 08 10.000 152.52211 2.7587176 0.1739829 266.80336 316.33191 23.23947 7.30 0.40
 72 Feronia 1999 08 10.000 86.88892 2.2664559 0.1212068 102.55583 208.20932 5.41337 8.94 0.15
 73 Klytia 1999 08 10.000 324.70549 2.6669618 0.0434630 52.85507 7.37820 2.38034 9.0 0.15
 74 Galatea 1999 08 10.000 183.56345 2.7817014 0.2362045 173.77467 197.56721 4.05692 8.66 0.15
 75 Eurydike 1999 08 10.000 138.07803 2.6692519 0.3086685 338.83503 359.56342 5.01770 8.96 0.23
